房间封面,房间分类,房间标题,主播热度,主播ID
https://rpic.douyucdn.cn/asrpic/191015/2720288_1433.png,二次元,午夜陪伴档,87.1万,白鹿姬o
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/08/02/160b729213ff4f0f528ed7d0ebb0c989.png,皇室战争,皇室战争职业联赛秋季赛常规赛,56.8万,Supercell游戏频道
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/07/03/4a6a2cd243d7ef564299c0d0e1b73cbd.jpg,数码科技,郑州80it：小白搞机防坑,55.9万,80it电脑网
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/09/23/ca35232f97a1f7d9a64b38c159f26e21.jpg,lol云顶之弈,云顶阴阳家新版本上分教学！！！！ ！,54.6万,卷子丶
https://rpic.douyucdn.cn/asrpic/191015/848337_1433.png,户外,八点开启11级抓阄抽奖俄罗斯深度七日游,82.2万,俄罗斯教父
https://rpic.douyucdn.cn/live-cover/appCovers/2019/10/03/6141959_20191003114736_small.jpg,颜值,要等到时间对，等大雁向南飞,6.3万,shine星雪
https://rpic.douyucdn.cn/asrpic/191015/5040227_1434.png,QQ飞车,Q飞S联赛常规赛第二周,53.8万,QQ飞车手游官方直播间
https://rpic.douyucdn.cn/asrpic/191015/432854_1433.png,数码科技,One Plus7T系列新品发布会,52.6万,斗鱼数码
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/10/14/8dd9a8820f92023a9b2a90c063d4142b.jpg,剑网3,重播：剑网3“凌雪藏锋”武学直播首秀,50.9万,剑网3官方直播
https://rpic.douyucdn.cn/live-cover/roomCover/2019/08/25/e25872ef620f8a5780570cbc98dd542f_big.png,颜值,在 5318931,6.5万,小梨emmm
https://rpic.douyucdn.cn/asrpic/191015/533813_0030.png,户外,公益直播课 支教留守娃,75.7万,TD丶正直博
https://rpic.douyucdn.cn/asrpic/191015/115280_1428.png,绝地求生,再下117我****,48.5万,少囧丶
https://rpic.douyucdn.cn/asrpic/191015/699689_1433.png,绝地求生,狗狐狸：今天换个地方跳?,48.3万,狐狸不太Sao
https://rpic.douyucdn.cn/asrpic/191015/4372875_1434.png,和平精英,王牌认证号4v96！找人盛宴！,45.7万,林熙Lxxi
https://rpic.douyucdn.cn/live-cover/appCovers/2019/09/21/701979_20190921192422_small.jpg,颜值,新歌《单行路》首发…,74.7万,睡懵的小七
https://rpic.douyucdn.cn/live-cover/roomCover/2019/08/14/4b1a6c423d68d3216a7da8e7f7dc1ce8_big.png,颜值,我回来啦~点进来你超帅~,74.2万,就是尖尖兒
https://rpic.douyucdn.cn/asrpic/191015/249813_1433.png,英雄联盟,云顶杨老八来啦~一会抽奖,45.4万,爷大干
https://rpic.douyucdn.cn/asrpic/191015/4926715_1429.png,王者荣耀,百星局112星单排上分分,44.1万,不如叫我慢慢
https://rpic.douyucdn.cn/asrpic/191015/14163_1428.png,英雄联盟,草莓：云顶冲1300 5点抽奖~,43.7万,草莓
https://rpic.douyucdn.cn/asrpic/191015/5763963_1429.png,乡野,蛇类科普112期,72万,蛇类科普蛇哥
https://rpic.douyucdn.cn/asrpic/191015/430489_1433.png,户外,【两出好戏】男儿当自强,69.1万,长沙乡村敢死队
https://rpic.douyucdn.cn/asrpic/191015/3567314_1433.png,英雄联盟,峡谷之巅重回1000,43.5万,王纪超666
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/10/08/4900f7b2aaec1db93ae412fe89655124.jpg,DNF,继续通关强者之路哈哈,43.2万,大龙猫
https://rpic.douyucdn.cn/asrpic/191015/70231_1433.png,绝地求生,跳伞冠军开始跳伞~,43万,恶魔qq
https://rpic.douyucdn.cn/asrpic/191015/3853457_2141766_34c89_2_1430.jpg,颜值,品，你细品 3853457,66.7万,歌神韦爵爷
https://rpic.douyucdn.cn/live-cover/appCovers/2019/08/23/5656277_20190823100947_small.jpg,颜值,今天也要记得爱我,60.2万,美羊羊公举
https://rpic.douyucdn.cn/asrpic/191015/3652542_1428.png,绝地求生,【橙子】场均52杀猛男单人四排巨帅！,42.8万,神秘嘉宾橙子
https://rpic.douyucdn.cn/asrpic/191015/160504_1433.png,三国杀,周二无敌！,42.3万,丶砍你焉用菜刀
https://rpic.douyucdn.cn/asrpic/191015/5189167_1434.png,英雄联盟,骆歆：来的都是帅哥,41.4万,骆歆冲冲冲
https://rpic.douyucdn.cn/asrpic/191015/5324159_4512675_0d4bf_2_1437.jpg,颜值,总有些惊喜的际遇,60.2万,白菜mm丶
https://rpic.douyucdn.cn/live-cover/appCovers/2019/10/15/5230270_20191015130406_small.jpg,颜值,祝我18岁生日快乐,54.7万,早安酱ii
https://rpic.douyucdn.cn/asrpic/191015/452628_1433.png,数码科技,一加7T 新机发布会,41.2万,科技美学中国
https://rpic.douyucdn.cn/asrpic/191015/4334531_1429.png,王者荣耀,国服后羿 带粉 最后2天,39.5万,1秒射8箭丶紫宸
https://rpic.douyucdn.cn/asrpic/191015/5168755_1434.png,DNF,左边跟我一起画个龙！！,39万,武神59
https://rpic.douyucdn.cn/live-cover/roomCover/2019/10/05/fd6366053c9d1ecc9b6335517787d40a_big.png,颜值,逗比界里的女神，女神界里的逗比。,47.2万,范范是我吖
https://rpic.douyucdn.cn/asrpic/191015/1409682_1433.png,一起看,【姽婳】第121天换装！挑战365天,45.6万,一条小姽婳
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/09/19/0b66eedde6caf3f53dd86ac89063539a.jpg,lol云顶之弈,细节决定成败 4666609,38.5万,初音未来灰飞
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/10/13/bbd2f0ff7c7cc7d2f03f8ce22eb47703.jpg,穿越火线,10月18日 CFPL秋季赛揭幕战,38万,穿越火线运营团队
https://rpic.douyucdn.cn/asrpic/191015/2082749_1433.png,王者荣耀,今日单排95星上101星,37.7万,游弋
https://rpic.douyucdn.cn/asrpic/191015/1910856_1428.png,美食,这个菜点了2年(≧ω≦)/,42万,深山大咖
https://rpic.douyucdn.cn/asrpic/191015/7434426_1435.png,户外,倒骑驴318去拉萨！(巴塘),41.2万,A丶大军
https://rpic.douyucdn.cn/asrpic/191015/718642_1433.png,和平精英,训练赛  磨合磨合~,37.4万,1121丶六神弟弟
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/10/08/9755d76a630443ee81217cceca61b9cd.jpg,跑跑手游,漂移无极限，主演是演员？？,37.1万,DY主演
https://rpic.douyucdn.cn/asrpic/191015/675429_1433.png,绝地求生,OMGBT：19岁青少年选手,37万,OMGsilentBT
https://rpic.douyucdn.cn/live-cover/roomCover/2019/10/09/0946ae9b4d9ca7c558d43b2ebbfbd22e.jpg,舞蹈,有没有真爱粉。。,41.2万,柴小凡丶
https://rpic.douyucdn.cn/live-cover/roomCover/2019/05/13/947b6f9b699c7c9bb81a1142169a5cca.jpg,电台,录播|晚安音乐电台,35.1万,南曼玉
https://rpic.douyucdn.cn/asrpic/191015/4350043_1429.png,王者荣耀,赛季倒数第二天  1带4上50星,35.7万,守护丶遇见美好
https://rpic.douyucdn.cn/asrpic/191015/67554_1433.png,DOTA2,健康哥上线！！！,35.3万,ZippO宝哥
https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2019/10/08/4352d53cd53042b33080d75641d528ff.jpg,DNF,灵魂武器真香，又破万了.........,34.8万,丶才子欧巴
https://rpic.douyucdn.cn/asrpic/191015/2141766_3853457_34c89_2_1430.jpg,颜值,一直在身边,32.8万,珂珂宝丶
https://rpic.douyucdn.cn/live-cover/roomCover/2019/09/19/b52db31c8bd75322561d4adea117fe73.png,舞蹈,新人热舞主播点点关注呀,29.6万,欧诺Alisa
https://rpic.douyucdn.cn/asrpic/191015/71091_1428.png,英雄联盟,行动代号：卤蛋,34.8万,狼牙山凯哥
https://rpic.douyucdn.cn/asrpic/191015/6387028_1434.png,自走棋,春来发枝冬凋敝，相思不如不相思,33.7万,棋待诏3321
https://rpic.douyucdn.cn/asrpic/191015/2132902_1428.png,鱼教,六点半，每周更新为你加速！,33.3万,陈翔六点半
https://rpic.douyucdn.cn/asrpic/191015/3473163_1433.png,户外,在广西来宾嗷～,27.7万,胡嘉一
https://rpic.douyucdn.cn/live-cover/appCovers/2019/04/29/6306934_20190429002035.jpg,电台,【直播】一首歌~一个故事~,27.5万,念言wzz
https://shark2.douyucdn.cn/front-publish/sdk-file-master/room_list_default@2x_a960c5b.png,和平精英,最强带妹王已上线,32.7万,皮西蒙丷
https://shark2.douyucdn.cn/front-publish/sdk-file-master/room_list_default@2x_a960c5b.png,DOTA2,ZSMJ直播间 认真！,32.5万,龚建ZSMJ
https://shark2.douyucdn.cn/front-publish/sdk-file-master/room_list_default@2x_a960c5b.png,DNF,CEO：没想到吧熬夜主播上线,32.4万,死亡首席执行官丶
https://shark2.douyucdn.cn/front-publish/sdk-file-master/room_list_default@2x_a960c5b.png,交友,【交友】 由“林爸 噜噜 大虫虫“冠名,27.2万,小象一如鲸向海
https://shark2.douyucdn.cn/front-publish/sdk-file-master/room_list_default@2x_a960c5b.png,交友,第一颜值女神恋爱交友厅,26.2万,爱约一只如初见
https://rpic.douyucdn.cn/asrpic/191015/7619178_1435.png,王者荣耀,99星单排上101国服第一诸葛在线飞天,32.3万,云白睡不醒
https://rpic.douyucdn.cn/asrpic/191015/217785_1428.png,英雄联盟,峡谷冲分！12点办卡抽万元大奖,31.9万,Night丶杀神风
https://rpic.douyucdn.cn/asrpic/191015/4487219_1434.png,中国象棋,象棋飞刀王！布局陷阱专家！,31.9万,楚汉讲棋
https://rpic.douyucdn.cn/asrpic/191015/4125556_1434.png,美食,渡劫76767676,25.9万,Skr丶大伟伟
https://rpic.douyucdn.cn/asrpic/191015/85894_1433.png,一起看,【神乐】华语 经典 电影 周星驰 刘德华,25.1万,进击的神乐
https://rpic.douyucdn.cn/asrpic/191015/6560603_1434.png,lol云顶之弈,各套路上分教学。,30.7万,阿涛皎月Carry
https://rpic.douyucdn.cn/asrpic/191015/221869_1433.png,梦幻西游手游,梦幻西游手游，下午好,30.5万,小儿郎丶丶
https://rpic.douyucdn.cn/asrpic/191015/673484_1433.png,数码科技,OnePlus 7T 系列新品发布会！,30.4万,极客之选
https://rpic.douyucdn.cn/asrpic/191015/517927_1433.png,户外,王总 羽丰大哥，周帮第一 下周是谁！,24.9万,户外王总
https://rpic.douyucdn.cn/asrpic/191015/3565879_1433.png,二次元,这不是通往幼儿园的车~,24.2万,温柔善良的雪雪
https://rpic.douyucdn.cn/asrpic/191015/321339_1428.png,英雄联盟,花皇：练点英雄池 晚上电1王者组排,30.4万,PeanutHulllll
https://rpic.douyucdn.cn/asrpic/191015/2081672_1433.png,数码科技,一加 7T Pro 新品发布会,30.2万,数码疯报live
https://rpic.douyucdn.cn/asrpic/191015/536341_1433.png,数码科技,90Hz更流畅 一加7T新品发布会直播,30万,ZOL中关村在线
https://rpic.douyucdn.cn/asrpic/191015/218859_1433.png,一起看,【林正英】僵尸 女鬼 弹幕 护体,23.9万,UnaDirezione
https://rpic.douyucdn.cn/live-cover/appCovers/2019/09/03/6548062_20190903114029.jpg,交友,【交友】私人订制约会现场,23.7万,SR一私人订制
